City,ActualHouseValue,RandomForestPredictedHouseValue,Lat,Lng
Worcester,305700.0,342560.0,42.28,-71.83
Worcester,162500.0,169778.0,42.25,-71.81
Cherry Valley,227800.0,248090.0,42.25,-71.88
Paxton,297600.0,318058.0,42.32,-71.93
Framingham,389000.0,421199.0,42.32,-71.43
Framingham,326900.0,328270.0,42.28,-71.44
Boxborough,506700.0,484152.0,42.49,-71.52
Acton,564000.0,577206.0,42.49,-71.44
Ashland,379000.0,441716.0,42.26,-71.47
Bedford,605900.0,653773.0,42.5,-71.28
Carlisle,793300.0,972983.01,42.53,-71.35
Concord,775100.0,845963.0,42.46,-71.36
Holliston,417100.0,464379.0,42.2,-71.44
Hopedale,322500.0,363795.0,42.13,-71.54
Hopkinton,551400.0,590547.0,42.23,-71.53
Hudson,319700.0,316157.0,42.39,-71.54
Marlborough,325700.0,321371.0,42.35,-71.55
Maynard,334000.0,392471.0,42.43,-71.45
Mendon,422400.0,427702.0,42.1,-71.54
Milford,292800.0,281918.0,42.15,-71.52
Natick,497000.0,485447.0,42.28,-71.35
Sherborn,723500.0,801317.0,42.23,-71.37
Southborough,599200.0,598694.0,42.3,-71.54
Lincoln,846300.0,1109976.03,42.43,-71.32
Stow,474800.0,508211.0,42.43,-71.51
Sudbury,668500.0,801618.0,42.39,-71.42
Wayland,662000.0,736518.0,42.36,-71.36
Woburn,394900.0,403931.0,42.49,-71.16
Burlington,465900.0,437856.0,42.51,-71.2
Andover,603700.0,635066.0,42.65,-71.17
Billerica,371500.0,369631.0,42.55,-71.26
Chelmsford,386800.0,421013.0,42.59,-71.35
Dracut,305100.0,303336.0,42.69,-71.31
Dunstable,460600.0,437952.0,42.67,-71.5
Haverhill,281500.0,322183.0,42.8,-71.06
Haverhill,264700.0,270018.0,42.79,-71.13
Georgetown,431700.0,423157.0,42.72,-70.98
Groveland,381100.0,379703.0,42.75,-71.01
Haverhill,270200.0,288882.0,42.75,-71.09
Lawrence,97700.0,166683.0,42.71,-71.16
Lawrence,243800.0,272192.0,42.71,-71.16
Lawrence,238700.0,236946.0,42.69,-71.16
Methuen,304900.0,306812.0,42.73,-71.19
North Andover,457800.0,499745.0,42.67,-71.08
Lowell,209100.0,231558.0,42.66,-71.3
Lowell,252100.0,249496.0,42.62,-71.34
Lowell,254000.0,238381.0,42.63,-71.3
Lowell,227900.0,241601.0,42.65,-71.35
Merrimac,335300.0,347324.0,42.84,-71.01
North Billerica,365400.0,378797.0,42.57,-71.29
North Chelmsford,313200.0,345206.0,42.63,-71.39
North Reading,469200.0,454950.0,42.58,-71.08
Reading,491200.0,495351.0,42.53,-71.1
Tewksbury,359400.0,385576.0,42.61,-71.23
Tyngsboro,349100.0,339707.0,42.66,-71.43
Wakefield,448000.0,447821.0,42.5,-71.07
Westford,485600.0,453897.0,42.59,-71.44
Wilmington,422800.0,406090.0,42.57,-71.17
Winchester,842300.0,840815.0,42.45,-71.15
Lynn,286200.0,207830.0,42.462,-70.946
Lynn,253800.0,291006.0,42.47,-70.94
Lynn,316900.0,334575.0,42.49,-70.97
Lynn,266900.0,324698.0,42.47,-70.97
Saugus,361600.0,369791.0,42.47,-71.01
Swampscott,450600.0,528058.0,42.48,-70.91
Nahant,548900.0,591147.0,42.44,-70.92
Amesbury,316500.0,374895.0,42.85,-70.95
Beverly,392900.0,448374.0,42.57,-70.86
Boxford,627900.0,670070.0,42.68,-71.03
Danvers,380600.0,403560.0,42.58,-70.96
Essex,585700.0,641250.0,42.64,-70.78
Gloucester,381000.0,390323.0,42.63,-70.69
Ipswich,452400.0,410794.0,42.7,-70.8
Lynnfield,593300.0,551918.0,42.54,-71.03
Manchester,763600.0,703531.0,42.58,-70.76
Marblehead,611100.0,626556.0,42.51,-70.84
Middleton,461500.0,461967.0,42.6,-71.01
Newburyport,479100.0,464350.0,42.81,-70.87
Newbury,474800.0,549081.0,42.76,-70.85
Salisbury,333900.0,326991.0,42.85,-70.86
Peabody,356800.0,329913.0,42.53,-70.97
Rockport,471800.0,454504.0,42.66,-70.61
Rowley,428200.0,426268.0,42.72,-70.89
Salem,331300.0,360008.0,42.52,-70.91
South Hamilton,519200.0,545030.0,42.63,-70.86
Topsfield,566700.0,487421.0,42.64,-70.94
Wenham,535800.0,580017.0,42.6,-70.87
West Newbury,490200.0,484552.0,42.79,-70.97
Bellingham,288900.0,325544.0,42.08,-71.47
Canton,460200.0,493205.0,42.18,-71.12
Cohasset,852300.0,831422.0,42.23,-70.82
Dedham,416300.0,456125.0,42.25,-71.18
Dover,1006800.0,1031007.02,42.24,-71.29
East Walpole,461400.0,522892.0,42.15,-71.22
Foxboro,392800.0,405878.0,42.06,-71.23
Franklin,403000.0,446282.0,42.09,-71.41
Hingham,710700.0,707282.0,42.22,-70.88
Hull,377000.0,480335.0,42.31,-70.89
Mansfield,386800.0,433709.0,42.02,-71.22
Marshfield,433800.0,436028.0,42.1,-70.7
Medfield,633500.0,699196.0,42.18,-71.31
Medway,383800.0,445434.0,42.16,-71.43
Millis,387100.0,380518.0,42.17,-71.36
Norfolk,469100.0,482509.0,42.12,-71.33
Norwell,583300.0,652665.0,42.15,-70.82
Norwood,402600.0,390684.0,42.18,-71.2
Scituate,533700.0,559263.0,42.21,-70.77
Sharon,516900.0,593626.0,42.11,-71.19
Stoughton,323500.0,347407.0,42.12,-71.1
Walpole,459200.0,473169.0,42.15,-71.26
Westwood,662800.0,702599.0,42.22,-71.2
Wrentham,421100.0,425596.0,42.05,-71.37
Boston,1009200.0,774558.0,42.358,-71.064
Boston,815600.0,1182498.08,42.363,-71.054
Boston,891600.0,1169688.05,42.359,-71.054
Boston,694200.0,788672.0,42.351,-71.061
Boston,548900.0,650762.0,42.365,-71.055
Boston,697400.0,758623.0,42.363,-71.066
Boston,660900.0,691262.0,42.34,-71.1
Boston,992100.0,1099966.03,42.35,-71.08
Boston,710700.0,805458.0,42.34,-71.07
Roxbury,379300.0,408781.0,42.32,-71.08
Roxbury Crossing,413600.0,348982.0,42.33,-71.1
Dorchester,417500.0,378122.0,42.31,-71.08
Dorchester,398800.0,388892.0,42.29,-71.05
Dorchester Center,362500.0,401497.0,42.29,-71.07
Dorchester,375800.0,386421.0,42.32,-71.0
Mattapan,316300.0,319016.0,42.28,-71.09
Boston,533200.0,588842.01,42.33,-71.04
Boston,355800.0,396986.0,42.37,-71.02
Charlestown,622200.0,670726.0,42.38,-71.06
Jamaica Plain,486400.0,536721.0,42.31,-71.12
Roslindale,414900.0,398171.0,42.28,-71.12
West Roxbury,459400.0,461099.0,42.28,-71.16
Allston,452900.0,415264.0,42.36,-71.13
Brighton,465200.0,482341.0,42.35,-71.15
Hyde Park,361100.0,366578.0,42.25,-71.13
Cambridge,748200.0,743288.0,42.38,-71.13
Cambridge,644300.0,644674.0,42.36,-71.1
Cambridge,671200.0,591256.0,42.39,-71.13
Cambridge,583300.0,544570.0,42.37,-71.08
Cambridge,838000.0,775446.0,42.36,-71.08
Somerville,550200.0,573222.0,42.38,-71.1
Somerville,635500.0,614977.0,42.4,-71.12
Somerville,472100.0,450558.0,42.39,-71.09
Malden,359400.0,382521.0,42.43,-71.05
Everett,357300.0,382674.0,42.41,-71.05
Chelsea,308300.0,349119.0,42.4,-71.03
Revere,332100.0,336884.0,42.42,-71.0
Winthrop,387200.0,433440.0,42.37,-70.97
Medford,443100.0,467596.0,42.42,-71.11
Quincy,365100.0,428815.0,42.24,-71.01
Quincy,408000.0,458833.0,42.27,-71.02
Quincy,416900.0,496974.0,42.29,-71.01
Melrose,463300.0,508768.0,42.46,-71.06
Stoneham,438700.0,422756.0,42.47,-71.1
Braintree,402000.0,389438.0,42.2,-71.01
Milton,558700.0,568807.0,42.24,-71.08
Weymouth,347600.0,393808.0,42.21,-70.96
East Weymouth,318700.0,307301.0,42.21,-70.93
South Weymouth,363900.0,363135.0,42.17,-70.95
North Weymouth,342200.0,364790.0,42.25,-70.94
Boston,752900.0,935217.02,42.35,-71.04
Boston,465900.0,526213.0,42.34,-71.1
Brockton,250300.0,274458.0,42.08,-71.04
Brockton,221600.0,254412.0,42.09,-71.0
Avon,294900.0,326453.0,42.13,-71.05
Bridgewater,338000.0,340374.0,41.97,-70.98
Carver,274600.0,299732.0,41.9,-70.8
Duxbury,594000.0,608994.0,42.05,-70.71
East Bridgewater,321600.0,345197.0,42.03,-70.94
Halifax,281500.0,322763.0,41.99,-70.86
Hanover,469200.0,449412.0,42.12,-70.85
Hanson,344300.0,351659.0,42.06,-70.87
Holbrook,290000.0,316082.0,42.14,-71.01
Middleboro,292800.0,313377.0,41.9,-70.9
Lakeville,356200.0,356372.0,41.84,-70.97
Abington,319200.0,353989.0,42.12,-70.96
North Easton,417700.0,453482.0,42.06,-71.12
Pembroke,370300.0,396556.0,42.06,-70.8
Plymouth,346300.0,383851.0,41.9,-70.6
Kingston,348500.0,405407.0,41.98,-70.75
Plympton,357600.0,395940.0,41.97,-70.81
Randolph,283500.0,345552.0,42.17,-71.06
Rockland,288100.0,336971.0,42.13,-70.91
South Easton,330200.0,377043.0,42.02,-71.11
West Bridgewater,327200.0,342298.0,42.02,-71.02
Whitman,289800.0,328926.0,42.08,-70.94
Lexington,813900.0,911593.0,42.46,-71.22
Lexington,818100.0,908768.0,42.44,-71.23
Brookline,797700.0,793744.0,42.32,-71.13
Brookline,805800.0,799452.0,42.34,-71.12
Waltham,439600.0,422800.0,42.4,-71.26
Waltham,494300.0,410078.0,42.39,-71.22
Waltham,469400.0,422949.0,42.37,-71.23
Newton,733400.0,715445.0,42.35,-71.19
Newton Center,973000.0,958226.0,42.31,-71.19
Newtonville,769700.0,765751.0,42.35,-71.21
Newton Highlands,835400.0,888037.0,42.31,-71.21
Newton Lower Falls,836600.0,938359.0,42.33,-71.26
Newton Upper Falls,620000.0,583220.0,42.313,-71.22
West Newton,765900.0,817616.0,42.35,-71.23
Auburndale,747900.0,589817.0,42.35,-71.25
Chestnut Hill,769900.0,643256.0,42.32,-71.16
Waban,1109300.0,1087197.01,42.33,-71.23
Watertown,480500.0,518492.0,42.37,-71.18
Arlington,565300.0,587828.0,42.42,-71.16
Arlington,595600.0,592411.0,42.42,-71.18
Belmont,758900.0,767904.0,42.4,-71.18
Wellesley Hills,1150900.0,1143152.0,42.32,-71.26
Wellesley,956000.0,835782.0,42.29,-71.3
Needham,790900.0,844967.0,42.28,-71.25
Weston,1198400.0,1140012.01,42.36,-71.3
Needham Heights,695000.0,669915.0,42.3,-71.22
Buzzards Bay,321700.0,323153.0,41.73,-70.59
Chilmark,986900.0,570063.0,41.3,-70.7
East Falmouth,334600.0,272430.0,41.6,-70.56
East Sandwich,440000.0,368181.0,41.73,-70.43
East Wareham,237700.0,205905.0,41.78,-70.65
Edgartown,728000.0,501593.0,41.39,-70.53
Falmouth,537100.0,454690.0,41.57,-70.63
Woods Hole,860400.0,602203.0,41.53,-70.67
Nantucket,986100.0,622995.0,41.3,-70.1
North Falmouth,527300.0,546299.0,41.64,-70.63
Oak Bluffs,577900.0,501344.0,41.454,-70.562
Onset,227600.0,282115.0,41.742,-70.662
Pocasset,336600.0,377574.0,41.69,-70.62
Sagamore Beach,382300.0,409256.0,41.79,-70.53
Sandwich,362500.0,428925.0,41.72,-70.48
Vineyard Haven,595800.0,634450.0,41.41,-70.63
Wareham,277000.0,239921.0,41.8,-70.7
West Wareham,250400.0,261600.0,41.77,-70.76
Hyannis,248900.0,204339.0,41.66,-70.3
Barnstable,589200.0,455498.0,41.7,-70.3
Brewster,431300.0,431594.0,41.75,-70.07
Centerville,351800.0,341747.0,41.66,-70.35
Chatham,600700.0,478368.0,41.6,-70.0
Cotuit,390200.0,413814.0,41.62,-70.44
Dennis,480300.0,430025.0,41.73,-70.2
Dennis Port,331100.0,232136.0,41.67,-70.14
Eastham,453400.0,421783.0,41.84,-69.98
Forestdale,327200.0,310248.0,41.7,-70.52
Harwich,370800.0,363431.0,41.7,-70.06
Harwich Port,436600.0,397334.0,41.67,-70.07
Marstons Mills,344600.0,329300.0,41.67,-70.42
Mashpee,337600.0,343698.0,41.61,-70.49
North Chatham,876300.0,737511.0,41.7,-69.97
North Truro,511300.0,291971.0,42.02,-70.09
Orleans,612500.0,568350.0,41.7,-70.0
Osterville,478900.0,551925.0,41.63,-70.39
Provincetown,511600.0,560313.0,42.05,-70.18
South Chatham,522900.0,386559.0,41.68,-70.02
South Dennis,344600.0,285787.0,41.71,-70.15
South Yarmouth,327000.0,248581.0,41.66,-70.19
Truro,454400.0,420921.0,42.02,-70.08
Wellfleet,496900.0,349468.0,41.93,-70.02
West Barnstable,443800.0,552648.0,41.71,-70.34
West Dennis,392400.0,403071.0,41.67,-70.17
West Harwich,410200.0,319490.0,41.67,-70.11
West Yarmouth,270300.0,247746.0,41.65,-70.24
Yarmouth Port,363500.0,409815.0,41.71,-70.23
Assonet,337800.0,357297.0,41.78,-71.06
Attleboro,273900.0,283351.0,41.94,-71.29
Dighton,336300.0,367758.0,41.82,-71.15
East Freetown,330500.0,320998.0,41.75,-70.97
East Taunton,263900.0,267707.0,41.87,-71.02
Fairhaven,270800.0,248561.0,41.63,-70.87
Fall River,234300.0,216781.0,41.72,-71.1
Fall River,227100.0,213100.0,41.65,-71.15
Fall River,219600.0,224172.0,41.69,-71.13
Fall River,238900.0,220935.0,41.69,-71.18
Somerset,264500.0,243123.0,41.72,-71.18
Somerset,276100.0,291200.0,41.76,-71.15
